ID	taxonomy	Taxon	Taxon Level	Feeding	Lifestyle	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
Genus02800	Ascomycota;Pezizomycotina;Sordariomycetes;Grosmannia	Grosmannia	13	Pathotroph	Plant Pathogen	NULL	Blue-Staining	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02804	Ascomycota;Pezizomycotina;Sordariomycetes;Halorosellinia	Halorosellinia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02805	Ascomycota;Pezizomycotina;Sordariomycetes;Halosarpheia	Halosarpheia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02806	Ascomycota;Pezizomycotina;Sordariomycetes;Halosphaeriaceae	Halosphaeriaceae	9	Saprotroph	Undefined Saprotroph-Wood Saprotroph	Microfungus	NULL	Probable	Found in aquatic habitats, mostly in marine environments; saprobic on submerged or intertidal wood, occasionally associated with sand grains and similar substrata (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
Genus02807	Ascomycota;Pezizomycotina;Sordariomycetes;Halosphaeriopsis	Halosphaeriopsis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02810	Ascomycota;Pezizomycotina;Sordariomycetes;Haptocillium	Haptocillium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02811	Ascomycota;Pezizomycotina;Sordariomycetes;Harposporium	Harposporium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02812	Ascomycota;Pezizomycotina;Sordariomycetes;Heleococcum	Heleococcum	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02813	Ascomycota;Pezizomycotina;Sordariomycetes;Hemibeltrania	Hemibeltrania	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02814	Ascomycota;Pezizomycotina;Sordariomycetes;Hirsutella	Hirsutella	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02815	Ascomycota;Pezizomycotina;Sordariomycetes;Hobsonia	Hobsonia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus02819	Ascomycota;Pezizomycotina;Sordariomycetes;Hydropisphaera	Hydropisphaera	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
